,dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018,continentExp
0,09/06/2020,9,6,2020,575,12,Afghanistan,AF,AFG,37172386.0,Asia
1,08/06/2020,8,6,2020,791,30,Afghanistan,AF,AFG,37172386.0,Asia
2,07/06/2020,7,6,2020,582,18,Afghanistan,AF,AFG,37172386.0,Asia
3,06/06/2020,6,6,2020,915,9,Afghanistan,AF,AFG,37172386.0,Asia
4,05/06/2020,5,6,2020,787,6,Afghanistan,AF,AFG,37172386.0,Asia
5,04/06/2020,4,6,2020,758,24,Afghanistan,AF,AFG,37172386.0,Asia
6,03/06/2020,3,6,2020,759,5,Afghanistan,AF,AFG,37172386.0,Asia
7,02/06/2020,2,6,2020,545,8,Afghanistan,AF,AFG,37172386.0,Asia
8,01/06/2020,1,6,2020,680,8,Afghanistan,AF,AFG,37172386.0,Asia
9,31/05/2020,31,5,2020,866,3,Afghanistan,AF,AFG,37172386.0,Asia
10,30/05/2020,30,5,2020,623,11,Afghanistan,AF,AFG,37172386.0,Asia
11,29/05/2020,29,5,2020,580,8,Afghanistan,AF,AFG,37172386.0,Asia
12,28/05/2020,28,5,2020,625,7,Afghanistan,AF,AFG,37172386.0,Asia
13,27/05/2020,27,5,2020,658,1,Afghanistan,AF,AFG,37172386.0,Asia
14,26/05/2020,26,5,2020,591,1,Afghanistan,AF,AFG,37172386.0,Asia
15,25/05/2020,25,5,2020,584,2,Afghanistan,AF,AFG,37172386.0,Asia
16,24/05/2020,24,5,2020,782,11,Afghanistan,AF,AFG,37172386.0,Asia
17,23/05/2020,23,5,2020,540,12,Afghanistan,AF,AFG,37172386.0,Asia
18,22/05/2020,22,5,2020,531,6,Afghanistan,AF,AFG,37172386.0,Asia
19,21/05/2020,21,5,2020,492,9,Afghanistan,AF,AFG,37172386.0,Asia
20,20/05/2020,20,5,2020,581,5,Afghanistan,AF,AFG,37172386.0,Asia
21,19/05/2020,19,5,2020,408,4,Afghanistan,AF,AFG,37172386.0,Asia
22,18/05/2020,18,5,2020,262,1,Afghanistan,AF,AFG,37172386.0,Asia
23,17/05/2020,17,5,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
24,16/05/2020,16,5,2020,1063,32,Afghanistan,AF,AFG,37172386.0,Asia
25,15/05/2020,15,5,2020,113,6,Afghanistan,AF,AFG,37172386.0,Asia
