,dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018,continentExp
0,02/05/2020,2,5,2020,164,4,Afghanistan,AF,AFG,37172386.0,Asia
1,01/05/2020,1,5,2020,222,4,Afghanistan,AF,AFG,37172386.0,Asia
2,30/04/2020,30,4,2020,122,0,Afghanistan,AF,AFG,37172386.0,Asia
3,29/04/2020,29,4,2020,124,3,Afghanistan,AF,AFG,37172386.0,Asia
4,28/04/2020,28,4,2020,172,0,Afghanistan,AF,AFG,37172386.0,Asia
5,27/04/2020,27,4,2020,68,10,Afghanistan,AF,AFG,37172386.0,Asia
6,26/04/2020,26,4,2020,112,4,Afghanistan,AF,AFG,37172386.0,Asia
7,25/04/2020,25,4,2020,70,1,Afghanistan,AF,AFG,37172386.0,Asia
8,24/04/2020,24,4,2020,105,2,Afghanistan,AF,AFG,37172386.0,Asia
9,23/04/2020,23,4,2020,84,4,Afghanistan,AF,AFG,37172386.0,Asia
10,22/04/2020,22,4,2020,61,1,Afghanistan,AF,AFG,37172386.0,Asia
11,21/04/2020,21,4,2020,35,2,Afghanistan,AF,AFG,37172386.0,Asia
12,20/04/2020,20,4,2020,88,3,Afghanistan,AF,AFG,37172386.0,Asia
13,19/04/2020,19,4,2020,63,0,Afghanistan,AF,AFG,37172386.0,Asia
14,18/04/2020,18,4,2020,51,1,Afghanistan,AF,AFG,37172386.0,Asia
15,17/04/2020,17,4,2020,10,4,Afghanistan,AF,AFG,37172386.0,Asia
16,16/04/2020,16,4,2020,70,2,Afghanistan,AF,AFG,37172386.0,Asia
17,15/04/2020,15,4,2020,49,2,Afghanistan,AF,AFG,37172386.0,Asia
18,14/04/2020,14,4,2020,58,3,Afghanistan,AF,AFG,37172386.0,Asia
19,13/04/2020,13,4,2020,52,0,Afghanistan,AF,AFG,37172386.0,Asia
20,12/04/2020,12,4,2020,34,3,Afghanistan,AF,AFG,37172386.0,Asia
21,11/04/2020,11,4,2020,37,0,Afghanistan,AF,AFG,37172386.0,Asia
22,10/04/2020,10,4,2020,61,1,Afghanistan,AF,AFG,37172386.0,Asia
23,09/04/2020,9,4,2020,56,3,Afghanistan,AF,AFG,37172386.0,Asia
24,08/04/2020,8,4,2020,30,4,Afghanistan,AF,AFG,37172386.0,Asia
25,07/04/2020,7,4,2020,38,0,Afghanistan,AF,AFG,37172386.0,Asia
26,06/04/2020,6,4,2020,29,2,Afghanistan,AF,AFG,37172386.0,Asia
27,05/04/2020,5,4,2020,35,1,Afghanistan,AF,AFG,37172386.0,Asia
28,04/04/2020,4,4,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
29,03/04/2020,3,4,2020,43,0,Afghanistan,AF,AFG,37172386.0,Asia
30,02/04/2020,2,4,2020,26,0,Afghanistan,AF,AFG,37172386.0,Asia
31,01/04/2020,1,4,2020,25,0,Afghanistan,AF,AFG,37172386.0,Asia
32,31/03/2020,31,3,2020,27,0,Afghanistan,AF,AFG,37172386.0,Asia
33,30/03/2020,30,3,2020,8,1,Afghanistan,AF,AFG,37172386.0,Asia
34,29/03/2020,29,3,2020,15,1,Afghanistan,AF,AFG,37172386.0,Asia
35,28/03/2020,28,3,2020,16,1,Afghanistan,AF,AFG,37172386.0,Asia
36,27/03/2020,27,3,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
37,26/03/2020,26,3,2020,33,0,Afghanistan,AF,AFG,37172386.0,Asia
38,25/03/2020,25,3,2020,2,0,Afghanistan,AF,AFG,37172386.0,Asia
39,24/03/2020,24,3,2020,6,1,Afghanistan,AF,AFG,37172386.0,Asia
40,23/03/2020,23,3,2020,10,0,Afghanistan,AF,AFG,37172386.0,Asia
41,22/03/2020,22,3,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
42,21/03/2020,21,3,2020,2,0,Afghanistan,AF,AFG,37172386.0,Asia
43,20/03/2020,20,3,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
44,19/03/2020,19,3,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
45,18/03/2020,18,3,2020,1,0,Afghanistan,AF,AFG,37172386.0,Asia
46,17/03/2020,17,3,2020,5,0,Afghanistan,AF,AFG,37172386.0,Asia
47,16/03/2020,16,3,2020,6,0,Afghanistan,AF,AFG,37172386.0,Asia
48,15/03/2020,15,3,2020,3,0,Afghanistan,AF,AFG,37172386.0,Asia
49,11/03/2020,11,3,2020,3,0,Afghanistan,AF,AFG,37172386.0,Asia
50,08/03/2020,8,3,2020,3,0,Afghanistan,AF,AFG,37172386.0,Asia
51,02/03/2020,2,3,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
52,01/03/2020,1,3,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
53,29/02/2020,29,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
54,28/02/2020,28,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
55,27/02/2020,27,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
56,26/02/2020,26,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
57,25/02/2020,25,2,2020,1,0,Afghanistan,AF,AFG,37172386.0,Asia
58,24/02/2020,24,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
59,23/02/2020,23,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
60,22/02/2020,22,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
61,21/02/2020,21,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
62,20/02/2020,20,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
63,19/02/2020,19,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
64,18/02/2020,18,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
65,17/02/2020,17,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
66,16/02/2020,16,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
67,15/02/2020,15,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
68,14/02/2020,14,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
69,13/02/2020,13,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
70,12/02/2020,12,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
71,11/02/2020,11,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
72,10/02/2020,10,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
73,09/02/2020,9,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
74,08/02/2020,8,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
75,07/02/2020,7,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
76,06/02/2020,6,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
77,05/02/2020,5,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
78,04/02/2020,4,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
79,03/02/2020,3,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
80,02/02/2020,2,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
81,01/02/2020,1,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
82,31/01/2020,31,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
83,30/01/2020,30,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
84,29/01/2020,29,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
85,28/01/2020,28,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
86,27/01/2020,27,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
87,26/01/2020,26,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
88,25/01/2020,25,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
89,24/01/2020,24,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
90,23/01/2020,23,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
91,22/01/2020,22,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
92,21/01/2020,21,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
93,20/01/2020,20,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
94,19/01/2020,19,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
95,18/01/2020,18,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
96,17/01/2020,17,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
97,16/01/2020,16,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
98,15/01/2020,15,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
99,14/01/2020,14,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
100,13/01/2020,13,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
101,12/01/2020,12,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
102,11/01/2020,11,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
103,10/01/2020,10,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
104,09/01/2020,9,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
