,dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000
0,31/07/2020,31,7,2020,71,0,Afghanistan,AF,AFG,38041757.0,Asia,3.86943221
1,30/07/2020,30,7,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,3.88257567
2,29/07/2020,29,7,2020,103,1,Afghanistan,AF,AFG,38041757.0,Asia,4.55026302
3,28/07/2020,28,7,2020,105,1,Afghanistan,AF,AFG,38041757.0,Asia,5.02868466
4,27/07/2020,27,7,2020,106,10,Afghanistan,AF,AFG,38041757.0,Asia,4.76318694
5,26/07/2020,26,7,2020,121,13,Afghanistan,AF,AFG,38041757.0,Asia,4.48454576
6,25/07/2020,25,7,2020,108,35,Afghanistan,AF,AFG,38041757.0,Asia,4.38991291
7,24/07/2020,24,7,2020,13,0,Afghanistan,AF,AFG,38041757.0,Asia,5.30995453
8,23/07/2020,23,7,2020,188,21,Afghanistan,AF,AFG,38041757.0,Asia,5.9460976
9,22/07/2020,22,7,2020,112,4,Afghanistan,AF,AFG,38041757.0,Asia,5.60699654
10,21/07/2020,21,7,2020,140,5,Afghanistan,AF,AFG,38041757.0,Asia,5.8646082
11,20/07/2020,20,7,2020,174,17,Afghanistan,AF,AFG,38041757.0,Asia,6.63481448
12,19/07/2020,19,7,2020,12,17,Afghanistan,AF,AFG,38041757.0,Asia,6.91082696
13,18/07/2020,18,7,2020,219,32,Afghanistan,AF,AFG,38041757.0,Asia,7.79406692
14,17/07/2020,17,7,2020,76,21,Afghanistan,AF,AFG,38041757.0,Asia,8.01224823
15,16/07/2020,16,7,2020,254,49,Afghanistan,AF,AFG,38041757.0,Asia,8.30140416
16,15/07/2020,15,7,2020,285,33,Afghanistan,AF,AFG,38041757.0,Asia,8.47226904
17,14/07/2020,14,7,2020,4,2,Afghanistan,AF,AFG,38041757.0,Asia,8.4564969
18,13/07/2020,13,7,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,9.15835722
19,12/07/2020,12,7,2020,85,16,Afghanistan,AF,AFG,38041757.0,Asia,10.08102754
20,11/07/2020,11,7,2020,458,37,Afghanistan,AF,AFG,38041757.0,Asia,10.29132277
21,10/07/2020,10,7,2020,255,20,Afghanistan,AF,AFG,38041757.0,Asia,9.81290112
22,09/07/2020,9,7,2020,59,1,Afghanistan,AF,AFG,38041757.0,Asia,10.35178265
23,08/07/2020,8,7,2020,210,16,Afghanistan,AF,AFG,38041757.0,Asia,10.81180346
24,07/07/2020,7,7,2020,433,56,Afghanistan,AF,AFG,38041757.0,Asia,11.14827583
25,06/07/2020,6,7,2020,279,38,Afghanistan,AF,AFG,38041757.0,Asia,10.82494691
26,05/07/2020,5,7,2020,348,7,Afghanistan,AF,AFG,38041757.0,Asia,11.16667666
27,04/07/2020,4,7,2020,302,12,Afghanistan,AF,AFG,38041757.0,Asia,11.68715735
28,03/07/2020,3,7,2020,186,33,Afghanistan,AF,AFG,38041757.0,Asia,11.80281973
29,02/07/2020,2,7,2020,319,28,Afghanistan,AF,AFG,38041757.0,Asia,13.04356158
30,01/07/2020,1,7,2020,279,13,Afghanistan,AF,AFG,38041757.0,Asia,13.68759072
31,30/06/2020,30,6,2020,271,12,Afghanistan,AF,AFG,38041757.0,Asia,15.01245066
32,29/06/2020,29,6,2020,351,18,Afghanistan,AF,AFG,38041757.0,Asia,16.30050894
33,28/06/2020,28,6,2020,165,20,Afghanistan,AF,AFG,38041757.0,Asia,17.12328902
34,27/06/2020,27,6,2020,276,8,Afghanistan,AF,AFG,38041757.0,Asia,18.15110695
35,26/06/2020,26,6,2020,460,36,Afghanistan,AF,AFG,38041757.0,Asia,19.15000929
36,25/06/2020,25,6,2020,234,21,Afghanistan,AF,AFG,38041757.0,Asia,19.90444343
37,24/06/2020,24,6,2020,338,20,Afghanistan,AF,AFG,38041757.0,Asia,21.08735409
38,23/06/2020,23,6,2020,310,17,Afghanistan,AF,AFG,38041757.0,Asia,21.62360692
39,22/06/2020,22,6,2020,409,12,Afghanistan,AF,AFG,38041757.0,Asia,22.32020987
40,21/06/2020,21,6,2020,546,21,Afghanistan,AF,AFG,38041757.0,Asia,23.32436959
41,20/06/2020,20,6,2020,346,2,Afghanistan,AF,AFG,38041757.0,Asia,23.41900244
42,19/06/2020,19,6,2020,658,42,Afghanistan,AF,AFG,38041757.0,Asia,24.91472726
43,18/06/2020,18,6,2020,564,13,Afghanistan,AF,AFG,38041757.0,Asia,25.25382831
44,17/06/2020,17,6,2020,783,13,Afghanistan,AF,AFG,38041757.0,Asia,25.76379424
45,16/06/2020,16,6,2020,761,7,Afghanistan,AF,AFG,38041757.0,Asia,25.70070567
46,15/06/2020,15,6,2020,664,20,Afghanistan,AF,AFG,38041757.0,Asia,25.13290856
47,14/06/2020,14,6,2020,556,5,Afghanistan,AF,AFG,38041757.0,Asia,25.174967600000002
48,13/06/2020,13,6,2020,656,20,Afghanistan,AF,AFG,38041757.0,Asia,25.98986161
49,12/06/2020,12,6,2020,747,21,Afghanistan,AF,AFG,38041757.0,Asia,25.90311483
50,11/06/2020,11,6,2020,684,21,Afghanistan,AF,AFG,38041757.0,Asia,25.46412354
51,10/06/2020,10,6,2020,542,15,Afghanistan,AF,AFG,38041757.0,Asia,25.30903081
52,09/06/2020,9,6,2020,575,12,Afghanistan,AF,AFG,38041757.0,Asia,25.61395889
53,08/06/2020,8,6,2020,791,30,Afghanistan,AF,AFG,38041757.0,Asia,25.65601794
54,07/06/2020,7,6,2020,582,18,Afghanistan,AF,AFG,38041757.0,Asia,25.11187903
55,06/06/2020,6,6,2020,915,9,Afghanistan,AF,AFG,38041757.0,Asia,25.63761711
56,05/06/2020,5,6,2020,787,6,Afghanistan,AF,AFG,38041757.0,Asia,24.65185822
57,04/06/2020,4,6,2020,758,24,Afghanistan,AF,AFG,38041757.0,Asia,23.97891349
58,03/06/2020,3,6,2020,759,5,Afghanistan,AF,AFG,38041757.0,Asia,23.27968185
59,02/06/2020,2,6,2020,545,8,Afghanistan,AF,AFG,38041757.0,Asia,22.81177497
60,01/06/2020,1,6,2020,680,8,Afghanistan,AF,AFG,38041757.0,Asia,22.45164439
61,31/05/2020,31,5,2020,866,3,Afghanistan,AF,AFG,38041757.0,Asia,21.35285181
62,30/05/2020,30,5,2020,623,11,Afghanistan,AF,AFG,38041757.0,Asia,19.07640596
63,29/05/2020,29,5,2020,580,8,Afghanistan,AF,AFG,38041757.0,Asia,20.23302972
64,28/05/2020,28,5,2020,625,7,Afghanistan,AF,AFG,38041757.0,Asia,19.00543132
65,27/05/2020,27,5,2020,658,1,Afghanistan,AF,AFG,38041757.0,Asia,18.04333065
