,dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp
0,18/06/2020,18,6,2020,564,13.0,Afghanistan,AF,AFG,38041757,Asia
1,17/06/2020,17,6,2020,783,13.0,Afghanistan,AF,AFG,38041757,Asia
2,16/06/2020,16,6,2020,761,7.0,Afghanistan,AF,AFG,38041757,Asia
3,15/06/2020,15,6,2020,664,20.0,Afghanistan,AF,AFG,38041757,Asia
4,14/06/2020,14,6,2020,556,5.0,Afghanistan,AF,AFG,38041757,Asia
5,13/06/2020,13,6,2020,656,20.0,Afghanistan,AF,AFG,38041757,Asia
6,12/06/2020,12,6,2020,747,21.0,Afghanistan,AF,AFG,38041757,Asia
7,11/06/2020,11,6,2020,684,21.0,Afghanistan,AF,AFG,38041757,Asia
8,10/06/2020,10,6,2020,542,15.0,Afghanistan,AF,AFG,38041757,Asia
9,09/06/2020,9,6,2020,575,12.0,Afghanistan,AF,AFG,38041757,Asia
10,08/06/2020,8,6,2020,791,30.0,Afghanistan,AF,AFG,38041757,Asia
11,07/06/2020,7,6,2020,582,18.0,Afghanistan,AF,AFG,38041757,Asia
12,06/06/2020,6,6,2020,915,9.0,Afghanistan,AF,AFG,38041757,Asia
13,05/06/2020,5,6,2020,787,6.0,Afghanistan,AF,AFG,38041757,Asia
14,04/06/2020,4,6,2020,758,24.0,Afghanistan,AF,AFG,38041757,Asia
15,03/06/2020,3,6,2020,759,5.0,Afghanistan,AF,AFG,38041757,Asia
16,02/06/2020,2,6,2020,545,8.0,Afghanistan,AF,AFG,38041757,Asia
17,01/06/2020,1,6,2020,680,8.0,Afghanistan,AF,AFG,38041757,Asia
18,31/05/2020,31,5,2020,866,3.0,Afghanistan,AF,AFG,38041757,Asia
19,30/05/2020,30,5,2020,623,11.0,Afghanistan,AF,AFG,38041757,Asia
20,29/05/2020,29,5,2020,580,8.0,Afghanistan,AF,AFG,38041757,Asia
21,28/05/2020,28,5,2020,625,7.0,Afghanistan,AF,AFG,38041757,Asia
22,27/05/2020,27,5,2020,658,1.0,Afghanistan,AF,AFG,38041757,Asia
23,26/05/2020,26,5,2020,591,1.0,Afghanistan,AF,AFG,38041757,Asia
24,25/05/2020,25,5,2020,584,2.0,Afghanistan,AF,AFG,38041757,Asia
25,24/05/2020,24,5,2020,782,11.0,Afghanistan,AF,AFG,38041757,Asia
26,23/05/2020,23,5,2020,540,12.0,Afghanistan,AF,AFG,38041757,Asia
27,22/05/2020,22,5,2020,531,6.0,Afghanistan,AF,AFG,38041757,Asia
28,21/05/2020,21,5,2020,492,9.0,Afghanistan,AF,AFG,38041757,Asia
29,20/05/2020,20,5,2020,581,5.0,Afghanistan,AF,AFG,38041757,Asia
30,19/05/2020,19,5,2020,408,4.0,Afghanistan,AF,AFG,38041757,Asia
31,18/05/2020,18,5,2020,262,1.0,Afghanistan,AF,AFG,38041757,Asia
32,17/05/2020,17,5,2020,0,0.0,Afghanistan,AF,AFG,38041757,Asia
33,16/05/2020,16,5,2020,1063,32.0,Afghanistan,AF,AFG,38041757,Asia
34,15/05/2020,15,5,2020,113,6.0,Afghanistan,AF,AFG,38041757,Asia
35,14/05/2020,14,5,2020,259,3.0,Afghanistan,AF,AFG,38041757,Asia
36,13/05/2020,13,5,2020,280,5.0,Afghanistan,AF,AFG,38041757,Asia
