,dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000
0,29/07/2020,29,7,2020,103,1,Afghanistan,AF,AFG,38041757.0,Asia,4.55026302
1,28/07/2020,28,7,2020,105,1,Afghanistan,AF,AFG,38041757.0,Asia,5.02868466
2,27/07/2020,27,7,2020,106,10,Afghanistan,AF,AFG,38041757.0,Asia,4.76318694
3,26/07/2020,26,7,2020,121,13,Afghanistan,AF,AFG,38041757.0,Asia,4.48454576
4,25/07/2020,25,7,2020,108,35,Afghanistan,AF,AFG,38041757.0,Asia,4.38991291
5,24/07/2020,24,7,2020,13,0,Afghanistan,AF,AFG,38041757.0,Asia,5.30995453
6,23/07/2020,23,7,2020,188,21,Afghanistan,AF,AFG,38041757.0,Asia,5.9460976
7,22/07/2020,22,7,2020,112,4,Afghanistan,AF,AFG,38041757.0,Asia,5.60699654
8,21/07/2020,21,7,2020,140,5,Afghanistan,AF,AFG,38041757.0,Asia,5.8646082
9,20/07/2020,20,7,2020,174,17,Afghanistan,AF,AFG,38041757.0,Asia,6.63481448
10,19/07/2020,19,7,2020,12,17,Afghanistan,AF,AFG,38041757.0,Asia,6.91082696
11,18/07/2020,18,7,2020,219,32,Afghanistan,AF,AFG,38041757.0,Asia,7.79406692
12,17/07/2020,17,7,2020,76,21,Afghanistan,AF,AFG,38041757.0,Asia,8.01224823
13,16/07/2020,16,7,2020,254,49,Afghanistan,AF,AFG,38041757.0,Asia,8.30140416
14,15/07/2020,15,7,2020,285,33,Afghanistan,AF,AFG,38041757.0,Asia,8.47226904
15,14/07/2020,14,7,2020,4,2,Afghanistan,AF,AFG,38041757.0,Asia,8.4564969
16,13/07/2020,13,7,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,9.15835722
17,12/07/2020,12,7,2020,85,16,Afghanistan,AF,AFG,38041757.0,Asia,10.08102754
18,11/07/2020,11,7,2020,458,37,Afghanistan,AF,AFG,38041757.0,Asia,10.29132277
19,10/07/2020,10,7,2020,255,20,Afghanistan,AF,AFG,38041757.0,Asia,9.81290112
20,09/07/2020,9,7,2020,59,1,Afghanistan,AF,AFG,38041757.0,Asia,10.35178265
21,08/07/2020,8,7,2020,210,16,Afghanistan,AF,AFG,38041757.0,Asia,10.81180346
22,07/07/2020,7,7,2020,433,56,Afghanistan,AF,AFG,38041757.0,Asia,11.14827583
23,06/07/2020,6,7,2020,279,38,Afghanistan,AF,AFG,38041757.0,Asia,10.82494691
24,05/07/2020,5,7,2020,348,7,Afghanistan,AF,AFG,38041757.0,Asia,11.16667666
25,04/07/2020,4,7,2020,302,12,Afghanistan,AF,AFG,38041757.0,Asia,11.68715735
26,03/07/2020,3,7,2020,186,33,Afghanistan,AF,AFG,38041757.0,Asia,11.80281973
27,02/07/2020,2,7,2020,319,28,Afghanistan,AF,AFG,38041757.0,Asia,13.04356158
28,01/07/2020,1,7,2020,279,13,Afghanistan,AF,AFG,38041757.0,Asia,13.68759072
29,30/06/2020,30,6,2020,271,12,Afghanistan,AF,AFG,38041757.0,Asia,15.01245066
30,29/06/2020,29,6,2020,351,18,Afghanistan,AF,AFG,38041757.0,Asia,16.30050894
31,28/06/2020,28,6,2020,165,20,Afghanistan,AF,AFG,38041757.0,Asia,17.12328902
32,27/06/2020,27,6,2020,276,8,Afghanistan,AF,AFG,38041757.0,Asia,18.15110695
33,26/06/2020,26,6,2020,460,36,Afghanistan,AF,AFG,38041757.0,Asia,19.15000929
34,25/06/2020,25,6,2020,234,21,Afghanistan,AF,AFG,38041757.0,Asia,19.90444343
35,24/06/2020,24,6,2020,338,20,Afghanistan,AF,AFG,38041757.0,Asia,21.08735409
36,23/06/2020,23,6,2020,310,17,Afghanistan,AF,AFG,38041757.0,Asia,21.62360692
37,22/06/2020,22,6,2020,409,12,Afghanistan,AF,AFG,38041757.0,Asia,22.32020987
38,21/06/2020,21,6,2020,546,21,Afghanistan,AF,AFG,38041757.0,Asia,23.32436959
39,20/06/2020,20,6,2020,346,2,Afghanistan,AF,AFG,38041757.0,Asia,23.41900244
40,19/06/2020,19,6,2020,658,42,Afghanistan,AF,AFG,38041757.0,Asia,24.91472726
41,18/06/2020,18,6,2020,564,13,Afghanistan,AF,AFG,38041757.0,Asia,25.25382831
42,17/06/2020,17,6,2020,783,13,Afghanistan,AF,AFG,38041757.0,Asia,25.76379424
43,16/06/2020,16,6,2020,761,7,Afghanistan,AF,AFG,38041757.0,Asia,25.70070567
44,15/06/2020,15,6,2020,664,20,Afghanistan,AF,AFG,38041757.0,Asia,25.13290856
45,14/06/2020,14,6,2020,556,5,Afghanistan,AF,AFG,38041757.0,Asia,25.174967600000002
46,13/06/2020,13,6,2020,656,20,Afghanistan,AF,AFG,38041757.0,Asia,25.98986161
47,12/06/2020,12,6,2020,747,21,Afghanistan,AF,AFG,38041757.0,Asia,25.90311483
48,11/06/2020,11,6,2020,684,21,Afghanistan,AF,AFG,38041757.0,Asia,25.46412354
49,10/06/2020,10,6,2020,542,15,Afghanistan,AF,AFG,38041757.0,Asia,25.30903081
50,09/06/2020,9,6,2020,575,12,Afghanistan,AF,AFG,38041757.0,Asia,25.61395889
51,08/06/2020,8,6,2020,791,30,Afghanistan,AF,AFG,38041757.0,Asia,25.65601794
52,07/06/2020,7,6,2020,582,18,Afghanistan,AF,AFG,38041757.0,Asia,25.11187903
53,06/06/2020,6,6,2020,915,9,Afghanistan,AF,AFG,38041757.0,Asia,25.63761711
54,05/06/2020,5,6,2020,787,6,Afghanistan,AF,AFG,38041757.0,Asia,24.65185822
55,04/06/2020,4,6,2020,758,24,Afghanistan,AF,AFG,38041757.0,Asia,23.97891349
56,03/06/2020,3,6,2020,759,5,Afghanistan,AF,AFG,38041757.0,Asia,23.27968185
57,02/06/2020,2,6,2020,545,8,Afghanistan,AF,AFG,38041757.0,Asia,22.81177497
58,01/06/2020,1,6,2020,680,8,Afghanistan,AF,AFG,38041757.0,Asia,22.45164439
59,31/05/2020,31,5,2020,866,3,Afghanistan,AF,AFG,38041757.0,Asia,21.35285181
60,30/05/2020,30,5,2020,623,11,Afghanistan,AF,AFG,38041757.0,Asia,19.07640596
61,29/05/2020,29,5,2020,580,8,Afghanistan,AF,AFG,38041757.0,Asia,20.23302972
62,28/05/2020,28,5,2020,625,7,Afghanistan,AF,AFG,38041757.0,Asia,19.00543132
63,27/05/2020,27,5,2020,658,1,Afghanistan,AF,AFG,38041757.0,Asia,18.04333065
64,26/05/2020,26,5,2020,591,1,Afghanistan,AF,AFG,38041757.0,Asia,17.04968569
65,25/05/2020,25,5,2020,584,2,Afghanistan,AF,AFG,38041757.0,Asia,16.24530644
66,24/05/2020,24,5,2020,782,11,Afghanistan,AF,AFG,38041757.0,Asia,15.68013801
67,23/05/2020,23,5,2020,540,12,Afghanistan,AF,AFG,38041757.0,Asia,14.29481819
68,22/05/2020,22,5,2020,531,6,Afghanistan,AF,AFG,38041757.0,Asia,13.44049382
69,21/05/2020,21,5,2020,492,9,Afghanistan,AF,AFG,38041757.0,Asia,12.49416529
70,20/05/2020,20,5,2020,581,5,Afghanistan,AF,AFG,38041757.0,Asia,11.64246962
71,19/05/2020,19,5,2020,408,4,Afghanistan,AF,AFG,38041757.0,Asia,10.98266833
72,18/05/2020,18,5,2020,262,1,Afghanistan,AF,AFG,38041757.0,Asia,10.40961384
73,17/05/2020,17,5,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,10.3386392
74,16/05/2020,16,5,2020,1063,32,Afghanistan,AF,AFG,38041757.0,Asia,10.6908837
75,15/05/2020,15,5,2020,113,6,Afghanistan,AF,AFG,38041757.0,Asia,8.32769107
76,14/05/2020,14,5,2020,259,3,Afghanistan,AF,AFG,38041757.0,Asia,8.61421832
77,13/05/2020,13,5,2020,280,5,Afghanistan,AF,AFG,38041757.0,Asia,8.25408774
78,12/05/2020,12,5,2020,285,2,Afghanistan,AF,AFG,38041757.0,Asia,7.84401204
79,11/05/2020,11,5,2020,369,5,Afghanistan,AF,AFG,38041757.0,Asia,7.54697003
80,10/05/2020,10,5,2020,255,6,Afghanistan,AF,AFG,38041757.0,Asia,6.75573423
81,09/05/2020,9,5,2020,215,3,Afghanistan,AF,AFG,38041757.0,Asia,6.37983151
82,08/05/2020,8,5,2020,171,2,Afghanistan,AF,AFG,38041757.0,Asia,5.99867141
83,07/05/2020,7,5,2020,168,9,Afghanistan,AF,AFG,38041757.0,Asia,5.82517784
84,06/05/2020,6,5,2020,330,5,Afghanistan,AF,AFG,38041757.0,Asia,5.60436785
85,05/05/2020,5,5,2020,190,5,Afghanistan,AF,AFG,38041757.0,Asia,4.89725015
86,04/05/2020,4,5,2020,235,13,Afghanistan,AF,AFG,38041757.0,Asia,4.48980314
87,03/05/2020,3,5,2020,134,4,Afghanistan,AF,AFG,38041757.0,Asia,4.10338566
88,02/05/2020,2,5,2020,164,4,Afghanistan,AF,AFG,38041757.0,Asia,3.91674864
89,01/05/2020,1,5,2020,222,4,Afghanistan,AF,AFG,38041757.0,Asia,3.61970663
90,30/04/2020,30,4,2020,122,0,Afghanistan,AF,AFG,38041757.0,Asia,3.06242427
91,29/04/2020,29,4,2020,124,3,Afghanistan,AF,AFG,38041757.0,Asia,2.92573237
92,28/04/2020,28,4,2020,172,0,Afghanistan,AF,AFG,38041757.0,Asia,2.7285806
93,27/04/2020,27,4,2020,68,10,Afghanistan,AF,AFG,38041757.0,Asia,2.42890989
94,26/04/2020,26,4,2020,112,4,Afghanistan,AF,AFG,38041757.0,Asia,2.38685085
95,25/04/2020,25,4,2020,70,1,Afghanistan,AF,AFG,38041757.0,Asia,2.181813
96,24/04/2020,24,4,2020,105,2,Afghanistan,AF,AFG,38041757.0,Asia,2.09506622
97,23/04/2020,23,4,2020,84,4,Afghanistan,AF,AFG,38041757.0,Asia,1.97940384
98,22/04/2020,22,4,2020,61,1,Afghanistan,AF,AFG,38041757.0,Asia,1.90580051
99,21/04/2020,21,4,2020,35,2,Afghanistan,AF,AFG,38041757.0,Asia,1.82431111
100,20/04/2020,20,4,2020,88,3,Afghanistan,AF,AFG,38041757.0,Asia,1.83219718
101,19/04/2020,19,4,2020,63,0,Afghanistan,AF,AFG,38041757.0,Asia,1.67710445
102,18/04/2020,18,4,2020,51,1,Afghanistan,AF,AFG,38041757.0,Asia,1.60350112
103,17/04/2020,17,4,2020,10,4,Afghanistan,AF,AFG,38041757.0,Asia,1.46943791
104,16/04/2020,16,4,2020,70,2,Afghanistan,AF,AFG,38041757.0,Asia,1.55618469
105,15/04/2020,15,4,2020,49,2,Afghanistan,AF,AFG,38041757.0,Asia,1.44052232
106,14/04/2020,14,4,2020,58,3,Afghanistan,AF,AFG,38041757.0,Asia,1.37743375
107,13/04/2020,13,4,2020,52,0,Afghanistan,AF,AFG,38041757.0,Asia,1.29594435
108,12/04/2020,12,4,2020,34,3,Afghanistan,AF,AFG,38041757.0,Asia,1.18028197
109,11/04/2020,11,4,2020,37,0,Afghanistan,AF,AFG,38041757.0,Asia,1.13033686
110,10/04/2020,10,4,2020,61,1,Afghanistan,AF,AFG,38041757.0,Asia,1.07513436
111,09/04/2020,9,4,2020,56,3,Afghanistan,AF,AFG,38041757.0,Asia,0.91478425
112,08/04/2020,8,4,2020,30,4,Afghanistan,AF,AFG,38041757.0,Asia,0.85432437
113,07/04/2020,7,4,2020,38,0,Afghanistan,AF,AFG,38041757.0,Asia,0.78072104
114,06/04/2020,6,4,2020,29,2,Afghanistan,AF,AFG,38041757.0,Asia,0.69660295
115,05/04/2020,5,4,2020,35,1,Afghanistan,AF,AFG,38041757.0,Asia,0.64665783
116,04/04/2020,4,4,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.55465367
117,03/04/2020,3,4,2020,43,0,Afghanistan,AF,AFG,38041757.0,Asia,0.55991105
118,02/04/2020,2,4,2020,26,0,Afghanistan,AF,AFG,38041757.0,Asia,0.44687736
119,01/04/2020,1,4,2020,25,0,Afghanistan,AF,AFG,38041757.0,Asia,0.37853141
120,31/03/2020,31,3,2020,27,0,Afghanistan,AF,AFG,38041757.0,Asia,0.31544284
121,30/03/2020,30,3,2020,8,1,Afghanistan,AF,AFG,38041757.0,Asia,0.25761166
122,29/03/2020,29,3,2020,15,1,Afghanistan,AF,AFG,38041757.0,Asia,0.25235427
123,28/03/2020,28,3,2020,16,1,Afghanistan,AF,AFG,38041757.0,Asia,0.22080999
124,27/03/2020,27,3,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.18663702
125,26/03/2020,26,3,2020,33,0,Afghanistan,AF,AFG,38041757.0,Asia,0.19452309
126,25/03/2020,25,3,2020,2,0,Afghanistan,AF,AFG,38041757.0,Asia,0.10777629999999999
127,24/03/2020,24,3,2020,6,1,Afghanistan,AF,AFG,38041757.0,Asia,0.10251892
128,23/03/2020,23,3,2020,10,0,Afghanistan,AF,AFG,38041757.0,Asia,0.08674678
129,22/03/2020,22,3,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.06045988
130,21/03/2020,21,3,2020,2,0,Afghanistan,AF,AFG,38041757.0,Asia,0.06045988
131,20/03/2020,20,3,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.055202499999999995
132,19/03/2020,19,3,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.05783119
133,18/03/2020,18,3,2020,1,0,Afghanistan,AF,AFG,38041757.0,Asia,0.05783119
134,17/03/2020,17,3,2020,5,0,Afghanistan,AF,AFG,38041757.0,Asia,0.055202499999999995
135,16/03/2020,16,3,2020,6,0,Afghanistan,AF,AFG,38041757.0,Asia,0.04205905
136,15/03/2020,15,3,2020,3,0,Afghanistan,AF,AFG,38041757.0,Asia,0.026286900000000002
137,11/03/2020,11,3,2020,3,0,Afghanistan,AF,AFG,38041757.0,Asia,0.01840083
138,08/03/2020,8,3,2020,3,0,Afghanistan,AF,AFG,38041757.0,Asia,0.01051476
139,02/03/2020,2,3,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.00262869
140,01/03/2020,1,3,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.00262869
