,dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018,continentExp
0,28/04/2020,28,4,2020,172,0,Afghanistan,AF,AFG,37172386.0,Asia
1,27/04/2020,27,4,2020,68,10,Afghanistan,AF,AFG,37172386.0,Asia
2,26/04/2020,26,4,2020,112,4,Afghanistan,AF,AFG,37172386.0,Asia
3,25/04/2020,25,4,2020,70,1,Afghanistan,AF,AFG,37172386.0,Asia
4,24/04/2020,24,4,2020,105,2,Afghanistan,AF,AFG,37172386.0,Asia
5,23/04/2020,23,4,2020,84,4,Afghanistan,AF,AFG,37172386.0,Asia
6,22/04/2020,22,4,2020,61,1,Afghanistan,AF,AFG,37172386.0,Asia
7,21/04/2020,21,4,2020,35,2,Afghanistan,AF,AFG,37172386.0,Asia
8,20/04/2020,20,4,2020,88,3,Afghanistan,AF,AFG,37172386.0,Asia
9,19/04/2020,19,4,2020,63,0,Afghanistan,AF,AFG,37172386.0,Asia
10,18/04/2020,18,4,2020,51,1,Afghanistan,AF,AFG,37172386.0,Asia
11,17/04/2020,17,4,2020,10,4,Afghanistan,AF,AFG,37172386.0,Asia
12,16/04/2020,16,4,2020,70,2,Afghanistan,AF,AFG,37172386.0,Asia
13,15/04/2020,15,4,2020,49,2,Afghanistan,AF,AFG,37172386.0,Asia
14,14/04/2020,14,4,2020,58,3,Afghanistan,AF,AFG,37172386.0,Asia
15,13/04/2020,13,4,2020,52,0,Afghanistan,AF,AFG,37172386.0,Asia
16,12/04/2020,12,4,2020,34,3,Afghanistan,AF,AFG,37172386.0,Asia
17,11/04/2020,11,4,2020,37,0,Afghanistan,AF,AFG,37172386.0,Asia
18,10/04/2020,10,4,2020,61,1,Afghanistan,AF,AFG,37172386.0,Asia
19,09/04/2020,9,4,2020,56,3,Afghanistan,AF,AFG,37172386.0,Asia
20,08/04/2020,8,4,2020,30,4,Afghanistan,AF,AFG,37172386.0,Asia
21,07/04/2020,7,4,2020,38,0,Afghanistan,AF,AFG,37172386.0,Asia
22,06/04/2020,6,4,2020,29,2,Afghanistan,AF,AFG,37172386.0,Asia
23,05/04/2020,5,4,2020,35,1,Afghanistan,AF,AFG,37172386.0,Asia
24,04/04/2020,4,4,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
25,03/04/2020,3,4,2020,43,0,Afghanistan,AF,AFG,37172386.0,Asia
26,02/04/2020,2,4,2020,26,0,Afghanistan,AF,AFG,37172386.0,Asia
27,01/04/2020,1,4,2020,25,0,Afghanistan,AF,AFG,37172386.0,Asia
28,31/03/2020,31,3,2020,27,0,Afghanistan,AF,AFG,37172386.0,Asia
29,30/03/2020,30,3,2020,8,1,Afghanistan,AF,AFG,37172386.0,Asia
30,29/03/2020,29,3,2020,15,1,Afghanistan,AF,AFG,37172386.0,Asia
31,28/03/2020,28,3,2020,16,1,Afghanistan,AF,AFG,37172386.0,Asia
32,27/03/2020,27,3,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
33,26/03/2020,26,3,2020,33,0,Afghanistan,AF,AFG,37172386.0,Asia
34,25/03/2020,25,3,2020,2,0,Afghanistan,AF,AFG,37172386.0,Asia
35,24/03/2020,24,3,2020,6,1,Afghanistan,AF,AFG,37172386.0,Asia
36,23/03/2020,23,3,2020,10,0,Afghanistan,AF,AFG,37172386.0,Asia
37,22/03/2020,22,3,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
38,21/03/2020,21,3,2020,2,0,Afghanistan,AF,AFG,37172386.0,Asia
39,20/03/2020,20,3,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
40,19/03/2020,19,3,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
41,18/03/2020,18,3,2020,1,0,Afghanistan,AF,AFG,37172386.0,Asia
42,17/03/2020,17,3,2020,5,0,Afghanistan,AF,AFG,37172386.0,Asia
43,16/03/2020,16,3,2020,6,0,Afghanistan,AF,AFG,37172386.0,Asia
44,15/03/2020,15,3,2020,3,0,Afghanistan,AF,AFG,37172386.0,Asia
45,11/03/2020,11,3,2020,3,0,Afghanistan,AF,AFG,37172386.0,Asia
46,08/03/2020,8,3,2020,3,0,Afghanistan,AF,AFG,37172386.0,Asia
47,02/03/2020,2,3,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
48,01/03/2020,1,3,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
49,29/02/2020,29,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
50,28/02/2020,28,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
51,27/02/2020,27,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
52,26/02/2020,26,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
53,25/02/2020,25,2,2020,1,0,Afghanistan,AF,AFG,37172386.0,Asia
54,24/02/2020,24,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
55,23/02/2020,23,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
56,22/02/2020,22,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
57,21/02/2020,21,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
58,20/02/2020,20,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
59,19/02/2020,19,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
60,18/02/2020,18,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
61,17/02/2020,17,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
62,16/02/2020,16,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
63,15/02/2020,15,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
64,14/02/2020,14,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
65,13/02/2020,13,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
66,12/02/2020,12,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
67,11/02/2020,11,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
68,10/02/2020,10,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
69,09/02/2020,9,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
70,08/02/2020,8,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
71,07/02/2020,7,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
72,06/02/2020,6,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
73,05/02/2020,5,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
74,04/02/2020,4,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
75,03/02/2020,3,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
76,02/02/2020,2,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
77,01/02/2020,1,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
78,31/01/2020,31,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
79,30/01/2020,30,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
80,29/01/2020,29,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
81,28/01/2020,28,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
82,27/01/2020,27,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
83,26/01/2020,26,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
84,25/01/2020,25,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
85,24/01/2020,24,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
86,23/01/2020,23,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
87,22/01/2020,22,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
88,21/01/2020,21,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
89,20/01/2020,20,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
90,19/01/2020,19,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
91,18/01/2020,18,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
92,17/01/2020,17,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
93,16/01/2020,16,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
94,15/01/2020,15,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
95,14/01/2020,14,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
