,dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp
0,28/06/2020,28,6,2020,165,20,Afghanistan,AF,AFG,38041757.0,Asia
1,27/06/2020,27,6,2020,276,8,Afghanistan,AF,AFG,38041757.0,Asia
2,26/06/2020,26,6,2020,460,36,Afghanistan,AF,AFG,38041757.0,Asia
3,25/06/2020,25,6,2020,234,21,Afghanistan,AF,AFG,38041757.0,Asia
4,24/06/2020,24,6,2020,338,20,Afghanistan,AF,AFG,38041757.0,Asia
5,23/06/2020,23,6,2020,310,17,Afghanistan,AF,AFG,38041757.0,Asia
6,22/06/2020,22,6,2020,409,12,Afghanistan,AF,AFG,38041757.0,Asia
7,21/06/2020,21,6,2020,546,21,Afghanistan,AF,AFG,38041757.0,Asia
8,20/06/2020,20,6,2020,346,2,Afghanistan,AF,AFG,38041757.0,Asia
9,19/06/2020,19,6,2020,658,42,Afghanistan,AF,AFG,38041757.0,Asia
10,18/06/2020,18,6,2020,564,13,Afghanistan,AF,AFG,38041757.0,Asia
11,17/06/2020,17,6,2020,783,13,Afghanistan,AF,AFG,38041757.0,Asia
12,16/06/2020,16,6,2020,761,7,Afghanistan,AF,AFG,38041757.0,Asia
13,15/06/2020,15,6,2020,664,20,Afghanistan,AF,AFG,38041757.0,Asia
14,14/06/2020,14,6,2020,556,5,Afghanistan,AF,AFG,38041757.0,Asia
15,13/06/2020,13,6,2020,656,20,Afghanistan,AF,AFG,38041757.0,Asia
16,12/06/2020,12,6,2020,747,21,Afghanistan,AF,AFG,38041757.0,Asia
17,11/06/2020,11,6,2020,684,21,Afghanistan,AF,AFG,38041757.0,Asia
18,10/06/2020,10,6,2020,542,15,Afghanistan,AF,AFG,38041757.0,Asia
19,09/06/2020,9,6,2020,575,12,Afghanistan,AF,AFG,38041757.0,Asia
20,08/06/2020,8,6,2020,791,30,Afghanistan,AF,AFG,38041757.0,Asia
21,07/06/2020,7,6,2020,582,18,Afghanistan,AF,AFG,38041757.0,Asia
22,06/06/2020,6,6,2020,915,9,Afghanistan,AF,AFG,38041757.0,Asia
23,05/06/2020,5,6,2020,787,6,Afghanistan,AF,AFG,38041757.0,Asia
24,04/06/2020,4,6,2020,758,24,Afghanistan,AF,AFG,38041757.0,Asia
25,03/06/2020,3,6,2020,759,5,Afghanistan,AF,AFG,38041757.0,Asia
26,02/06/2020,2,6,2020,545,8,Afghanistan,AF,AFG,38041757.0,Asia
27,01/06/2020,1,6,2020,680,8,Afghanistan,AF,AFG,38041757.0,Asia
28,31/05/2020,31,5,2020,866,3,Afghanistan,AF,AFG,38041757.0,Asia
29,30/05/2020,30,5,2020,623,11,Afghanistan,AF,AFG,38041757.0,Asia
30,29/05/2020,29,5,2020,580,8,Afghanistan,AF,AFG,38041757.0,Asia
31,28/05/2020,28,5,2020,625,7,Afghanistan,AF,AFG,38041757.0,Asia
32,27/05/2020,27,5,2020,658,1,Afghanistan,AF,AFG,38041757.0,Asia
33,26/05/2020,26,5,2020,591,1,Afghanistan,AF,AFG,38041757.0,Asia
34,25/05/2020,25,5,2020,584,2,Afghanistan,AF,AFG,38041757.0,Asia
35,24/05/2020,24,5,2020,782,11,Afghanistan,AF,AFG,38041757.0,Asia
36,23/05/2020,23,5,2020,540,12,Afghanistan,AF,AFG,38041757.0,Asia
37,22/05/2020,22,5,2020,531,6,Afghanistan,AF,AFG,38041757.0,Asia
38,21/05/2020,21,5,2020,492,9,Afghanistan,AF,AFG,38041757.0,Asia
39,20/05/2020,20,5,2020,581,5,Afghanistan,AF,AFG,38041757.0,Asia
40,19/05/2020,19,5,2020,408,4,Afghanistan,AF,AFG,38041757.0,Asia
41,18/05/2020,18,5,2020,262,1,Afghanistan,AF,AFG,38041757.0,Asia
42,17/05/2020,17,5,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
43,16/05/2020,16,5,2020,1063,32,Afghanistan,AF,AFG,38041757.0,Asia
44,15/05/2020,15,5,2020,113,6,Afghanistan,AF,AFG,38041757.0,Asia
45,14/05/2020,14,5,2020,259,3,Afghanistan,AF,AFG,38041757.0,Asia
46,13/05/2020,13,5,2020,280,5,Afghanistan,AF,AFG,38041757.0,Asia
47,12/05/2020,12,5,2020,285,2,Afghanistan,AF,AFG,38041757.0,Asia
48,11/05/2020,11,5,2020,369,5,Afghanistan,AF,AFG,38041757.0,Asia
49,10/05/2020,10,5,2020,255,6,Afghanistan,AF,AFG,38041757.0,Asia
50,09/05/2020,9,5,2020,215,3,Afghanistan,AF,AFG,38041757.0,Asia
51,08/05/2020,8,5,2020,171,2,Afghanistan,AF,AFG,38041757.0,Asia
52,07/05/2020,7,5,2020,168,9,Afghanistan,AF,AFG,38041757.0,Asia
53,06/05/2020,6,5,2020,330,5,Afghanistan,AF,AFG,38041757.0,Asia
54,05/05/2020,5,5,2020,190,5,Afghanistan,AF,AFG,38041757.0,Asia
55,04/05/2020,4,5,2020,235,13,Afghanistan,AF,AFG,38041757.0,Asia
56,03/05/2020,3,5,2020,134,4,Afghanistan,AF,AFG,38041757.0,Asia
57,02/05/2020,2,5,2020,164,4,Afghanistan,AF,AFG,38041757.0,Asia
58,01/05/2020,1,5,2020,222,4,Afghanistan,AF,AFG,38041757.0,Asia
59,30/04/2020,30,4,2020,122,0,Afghanistan,AF,AFG,38041757.0,Asia
60,29/04/2020,29,4,2020,124,3,Afghanistan,AF,AFG,38041757.0,Asia
61,28/04/2020,28,4,2020,172,0,Afghanistan,AF,AFG,38041757.0,Asia
62,27/04/2020,27,4,2020,68,10,Afghanistan,AF,AFG,38041757.0,Asia
63,26/04/2020,26,4,2020,112,4,Afghanistan,AF,AFG,38041757.0,Asia
64,25/04/2020,25,4,2020,70,1,Afghanistan,AF,AFG,38041757.0,Asia
65,24/04/2020,24,4,2020,105,2,Afghanistan,AF,AFG,38041757.0,Asia
66,23/04/2020,23,4,2020,84,4,Afghanistan,AF,AFG,38041757.0,Asia
67,22/04/2020,22,4,2020,61,1,Afghanistan,AF,AFG,38041757.0,Asia
68,21/04/2020,21,4,2020,35,2,Afghanistan,AF,AFG,38041757.0,Asia
69,20/04/2020,20,4,2020,88,3,Afghanistan,AF,AFG,38041757.0,Asia
70,19/04/2020,19,4,2020,63,0,Afghanistan,AF,AFG,38041757.0,Asia
71,18/04/2020,18,4,2020,51,1,Afghanistan,AF,AFG,38041757.0,Asia
72,17/04/2020,17,4,2020,10,4,Afghanistan,AF,AFG,38041757.0,Asia
73,16/04/2020,16,4,2020,70,2,Afghanistan,AF,AFG,38041757.0,Asia
74,15/04/2020,15,4,2020,49,2,Afghanistan,AF,AFG,38041757.0,Asia
75,14/04/2020,14,4,2020,58,3,Afghanistan,AF,AFG,38041757.0,Asia
76,13/04/2020,13,4,2020,52,0,Afghanistan,AF,AFG,38041757.0,Asia
77,12/04/2020,12,4,2020,34,3,Afghanistan,AF,AFG,38041757.0,Asia
78,11/04/2020,11,4,2020,37,0,Afghanistan,AF,AFG,38041757.0,Asia
79,10/04/2020,10,4,2020,61,1,Afghanistan,AF,AFG,38041757.0,Asia
80,09/04/2020,9,4,2020,56,3,Afghanistan,AF,AFG,38041757.0,Asia
81,08/04/2020,8,4,2020,30,4,Afghanistan,AF,AFG,38041757.0,Asia
82,07/04/2020,7,4,2020,38,0,Afghanistan,AF,AFG,38041757.0,Asia
83,06/04/2020,6,4,2020,29,2,Afghanistan,AF,AFG,38041757.0,Asia
84,05/04/2020,5,4,2020,35,1,Afghanistan,AF,AFG,38041757.0,Asia
85,04/04/2020,4,4,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
86,03/04/2020,3,4,2020,43,0,Afghanistan,AF,AFG,38041757.0,Asia
87,02/04/2020,2,4,2020,26,0,Afghanistan,AF,AFG,38041757.0,Asia
88,01/04/2020,1,4,2020,25,0,Afghanistan,AF,AFG,38041757.0,Asia
89,31/03/2020,31,3,2020,27,0,Afghanistan,AF,AFG,38041757.0,Asia
90,30/03/2020,30,3,2020,8,1,Afghanistan,AF,AFG,38041757.0,Asia
91,29/03/2020,29,3,2020,15,1,Afghanistan,AF,AFG,38041757.0,Asia
92,28/03/2020,28,3,2020,16,1,Afghanistan,AF,AFG,38041757.0,Asia
93,27/03/2020,27,3,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
94,26/03/2020,26,3,2020,33,0,Afghanistan,AF,AFG,38041757.0,Asia
95,25/03/2020,25,3,2020,2,0,Afghanistan,AF,AFG,38041757.0,Asia
96,24/03/2020,24,3,2020,6,1,Afghanistan,AF,AFG,38041757.0,Asia
97,23/03/2020,23,3,2020,10,0,Afghanistan,AF,AFG,38041757.0,Asia
98,22/03/2020,22,3,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
99,21/03/2020,21,3,2020,2,0,Afghanistan,AF,AFG,38041757.0,Asia
100,20/03/2020,20,3,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
101,19/03/2020,19,3,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
102,18/03/2020,18,3,2020,1,0,Afghanistan,AF,AFG,38041757.0,Asia
103,17/03/2020,17,3,2020,5,0,Afghanistan,AF,AFG,38041757.0,Asia
104,16/03/2020,16,3,2020,6,0,Afghanistan,AF,AFG,38041757.0,Asia
105,15/03/2020,15,3,2020,3,0,Afghanistan,AF,AFG,38041757.0,Asia
106,11/03/2020,11,3,2020,3,0,Afghanistan,AF,AFG,38041757.0,Asia
107,08/03/2020,8,3,2020,3,0,Afghanistan,AF,AFG,38041757.0,Asia
108,02/03/2020,2,3,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
109,01/03/2020,1,3,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
110,29/02/2020,29,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
111,28/02/2020,28,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
112,27/02/2020,27,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
113,26/02/2020,26,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
114,25/02/2020,25,2,2020,1,0,Afghanistan,AF,AFG,38041757.0,Asia
115,24/02/2020,24,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
116,23/02/2020,23,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
117,22/02/2020,22,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
118,21/02/2020,21,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
119,20/02/2020,20,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
120,19/02/2020,19,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
121,18/02/2020,18,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
122,17/02/2020,17,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
123,16/02/2020,16,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
124,15/02/2020,15,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
125,14/02/2020,14,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
126,13/02/2020,13,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
127,12/02/2020,12,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
128,11/02/2020,11,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
129,10/02/2020,10,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
130,09/02/2020,9,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
131,08/02/2020,8,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
132,07/02/2020,7,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
133,06/02/2020,6,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
134,05/02/2020,5,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
135,04/02/2020,4,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
136,03/02/2020,3,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
137,02/02/2020,2,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
138,01/02/2020,1,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
139,31/01/2020,31,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
140,30/01/2020,30,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
141,29/01/2020,29,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
142,28/01/2020,28,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
143,27/01/2020,27,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
144,26/01/2020,26,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
145,25/01/2020,25,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
146,24/01/2020,24,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
147,23/01/2020,23,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
148,22/01/2020,22,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
149,21/01/2020,21,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
150,20/01/2020,20,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
151,19/01/2020,19,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
152,18/01/2020,18,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
153,17/01/2020,17,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
154,16/01/2020,16,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
155,15/01/2020,15,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
156,14/01/2020,14,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
157,13/01/2020,13,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
158,12/01/2020,12,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
159,11/01/2020,11,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
160,10/01/2020,10,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
161,09/01/2020,9,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
162,08/01/2020,8,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
163,07/01/2020,7,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
164,06/01/2020,6,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
165,05/01/2020,5,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
166,04/01/2020,4,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
167,03/01/2020,3,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
168,02/01/2020,2,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
169,01/01/2020,1,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
170,31/12/2019,31,12,2019,0,0,Afghanistan,AF,AFG,38041757.0,Asia
171,28/06/2020,28,6,2020,61,2,Albania,AL,ALB,2862427.0,Europe
172,27/06/2020,27,6,2020,77,2,Albania,AL,ALB,2862427.0,Europe
173,26/06/2020,26,6,2020,78,2,Albania,AL,ALB,2862427.0,Europe
174,25/06/2020,25,6,2020,67,2,Albania,AL,ALB,2862427.0,Europe
175,24/06/2020,24,6,2020,52,1,Albania,AL,ALB,2862427.0,Europe
176,23/06/2020,23,6,2020,68,0,Albania,AL,ALB,2862427.0,Europe
177,22/06/2020,22,6,2020,36,1,Albania,AL,ALB,2862427.0,Europe
178,21/06/2020,21,6,2020,53,1,Albania,AL,ALB,2862427.0,Europe
179,20/06/2020,20,6,2020,50,3,Albania,AL,ALB,2862427.0,Europe
180,19/06/2020,19,6,2020,66,1,Albania,AL,ALB,2862427.0,Europe
181,18/06/2020,18,6,2020,50,1,Albania,AL,ALB,2862427.0,Europe
182,17/06/2020,17,6,2020,82,1,Albania,AL,ALB,2862427.0,Europe
183,16/06/2020,16,6,2020,69,0,Albania,AL,ALB,2862427.0,Europe
184,15/06/2020,15,6,2020,57,0,Albania,AL,ALB,2862427.0,Europe
185,14/06/2020,14,6,2020,48,0,Albania,AL,ALB,2862427.0,Europe
186,13/06/2020,13,6,2020,31,1,Albania,AL,ALB,2862427.0,Europe
187,12/06/2020,12,6,2020,44,1,Albania,AL,ALB,2862427.0,Europe
188,11/06/2020,11,6,2020,42,0,Albania,AL,ALB,2862427.0,Europe
189,10/06/2020,10,6,2020,36,0,Albania,AL,ALB,2862427.0,Europe
190,09/06/2020,9,6,2020,17,0,Albania,AL,ALB,2862427.0,Europe
191,08/06/2020,8,6,2020,14,0,Albania,AL,ALB,2862427.0,Europe
192,07/06/2020,7,6,2020,20,1,Albania,AL,ALB,2862427.0,Europe
193,06/06/2020,6,6,2020,15,0,Albania,AL,ALB,2862427.0,Europe
194,05/06/2020,5,6,2020,13,0,Albania,AL,ALB,2862427.0,Europe
195,04/06/2020,4,6,2020,20,0,Albania,AL,ALB,2862427.0,Europe
196,03/06/2020,3,6,2020,21,0,Albania,AL,ALB,2862427.0,Europe
197,02/06/2020,2,6,2020,6,0,Albania,AL,ALB,2862427.0,Europe
198,01/06/2020,1,6,2020,15,0,Albania,AL,ALB,2862427.0,Europe
199,31/05/2020,31,5,2020,23,0,Albania,AL,ALB,2862427.0,Europe
200,30/05/2020,30,5,2020,23,0,Albania,AL,ALB,2862427.0,Europe
201,29/05/2020,29,5,2020,26,0,Albania,AL,ALB,2862427.0,Europe
202,28/05/2020,28,5,2020,21,0,Albania,AL,ALB,2862427.0,Europe
203,27/05/2020,27,5,2020,25,1,Albania,AL,ALB,2862427.0,Europe
204,26/05/2020,26,5,2020,6,0,Albania,AL,ALB,2862427.0,Europe
205,25/05/2020,25,5,2020,9,1,Albania,AL,ALB,2862427.0,Europe
206,24/05/2020,24,5,2020,8,0,Albania,AL,ALB,2862427.0,Europe
207,23/05/2020,23,5,2020,12,0,Albania,AL,ALB,2862427.0,Europe
208,22/05/2020,22,5,2020,5,0,Albania,AL,ALB,2862427.0,Europe
209,21/05/2020,21,5,2020,15,0,Albania,AL,ALB,2862427.0,Europe
210,20/05/2020,20,5,2020,1,0,Albania,AL,ALB,2862427.0,Europe
211,19/05/2020,19,5,2020,2,0,Albania,AL,ALB,2862427.0,Europe
212,18/05/2020,18,5,2020,13,0,Albania,AL,ALB,2862427.0,Europe
213,17/05/2020,17,5,2020,17,0,Albania,AL,ALB,2862427.0,Europe
214,16/05/2020,16,5,2020,18,0,Albania,AL,ALB,2862427.0,Europe
215,15/05/2020,15,5,2020,18,0,Albania,AL,ALB,2862427.0,Europe
216,14/05/2020,14,5,2020,4,0,Albania,AL,ALB,2862427.0,Europe
217,13/05/2020,13,5,2020,4,0,Albania,AL,ALB,2862427.0,Europe
218,12/05/2020,12,5,2020,4,0,Albania,AL,ALB,2862427.0,Europe
219,11/05/2020,11,5,2020,12,0,Albania,AL,ALB,2862427.0,Europe
220,10/05/2020,10,5,2020,6,0,Albania,AL,ALB,2862427.0,Europe
221,09/05/2020,9,5,2020,8,0,Albania,AL,ALB,2862427.0,Europe
222,08/05/2020,8,5,2020,10,0,Albania,AL,ALB,2862427.0,Europe
223,07/05/2020,7,5,2020,12,0,Albania,AL,ALB,2862427.0,Europe
224,06/05/2020,6,5,2020,17,0,Albania,AL,ALB,2862427.0,Europe
225,05/05/2020,5,5,2020,8,0,Albania,AL,ALB,2862427.0,Europe
226,04/05/2020,4,5,2020,6,0,Albania,AL,ALB,2862427.0,Europe
227,03/05/2020,3,5,2020,7,0,Albania,AL,ALB,2862427.0,Europe
228,02/05/2020,2,5,2020,9,0,Albania,AL,ALB,2862427.0,Europe
229,01/05/2020,1,5,2020,7,0,Albania,AL,ALB,2862427.0,Europe
230,30/04/2020,30,4,2020,16,1,Albania,AL,ALB,2862427.0,Europe
231,29/04/2020,29,4,2020,14,2,Albania,AL,ALB,2862427.0,Europe
232,28/04/2020,28,4,2020,10,0,Albania,AL,ALB,2862427.0,Europe
233,27/04/2020,27,4,2020,14,1,Albania,AL,ALB,2862427.0,Europe
234,26/04/2020,26,4,2020,34,0,Albania,AL,ALB,2862427.0,Europe
235,25/04/2020,25,4,2020,15,0,Albania,AL,ALB,2862427.0,Europe
236,24/04/2020,24,4,2020,29,0,Albania,AL,ALB,2862427.0,Europe
237,23/04/2020,23,4,2020,25,1,Albania,AL,ALB,2862427.0,Europe
238,22/04/2020,22,4,2020,25,0,Albania,AL,ALB,2862427.0,Europe
239,21/04/2020,21,4,2020,22,0,Albania,AL,ALB,2862427.0,Europe
240,20/04/2020,20,4,2020,14,0,Albania,AL,ALB,2862427.0,Europe
241,19/04/2020,19,4,2020,9,0,Albania,AL,ALB,2862427.0,Europe
242,18/04/2020,18,4,2020,21,0,Albania,AL,ALB,2862427.0,Europe
243,17/04/2020,17,4,2020,24,1,Albania,AL,ALB,2862427.0,Europe
244,16/04/2020,16,4,2020,19,1,Albania,AL,ALB,2862427.0,Europe
245,15/04/2020,15,4,2020,8,1,Albania,AL,ALB,2862427.0,Europe
246,14/04/2020,14,4,2020,21,0,Albania,AL,ALB,2862427.0,Europe
247,13/04/2020,13,4,2020,13,0,Albania,AL,ALB,2862427.0,Europe
248,12/04/2020,12,4,2020,17,0,Albania,AL,ALB,2862427.0,Europe
249,11/04/2020,11,4,2020,7,0,Albania,AL,ALB,2862427.0,Europe
250,10/04/2020,10,4,2020,9,1,Albania,AL,ALB,2862427.0,Europe
251,09/04/2020,9,4,2020,17,0,Albania,AL,ALB,2862427.0,Europe
252,08/04/2020,8,4,2020,6,0,Albania,AL,ALB,2862427.0,Europe
253,07/04/2020,7,4,2020,16,1,Albania,AL,ALB,2862427.0,Europe
254,06/04/2020,6,4,2020,28,2,Albania,AL,ALB,2862427.0,Europe
255,05/04/2020,5,4,2020,29,2,Albania,AL,ALB,2862427.0,Europe
256,04/04/2020,4,4,2020,27,1,Albania,AL,ALB,2862427.0,Europe
257,03/04/2020,3,4,2020,18,1,Albania,AL,ALB,2862427.0,Europe
258,02/04/2020,2,4,2020,16,0,Albania,AL,ALB,2862427.0,Europe
259,01/04/2020,1,4,2020,20,3,Albania,AL,ALB,2862427.0,Europe
260,31/03/2020,31,3,2020,11,2,Albania,AL,ALB,2862427.0,Europe
261,30/03/2020,30,3,2020,15,0,Albania,AL,ALB,2862427.0,Europe
262,29/03/2020,29,3,2020,11,1,Albania,AL,ALB,2862427.0,Europe
263,28/03/2020,28,3,2020,12,3,Albania,AL,ALB,2862427.0,Europe
264,27/03/2020,27,3,2020,28,1,Albania,AL,ALB,2862427.0,Europe
265,26/03/2020,26,3,2020,23,0,Albania,AL,ALB,2862427.0,Europe
266,25/03/2020,25,3,2020,23,1,Albania,AL,ALB,2862427.0,Europe
267,24/03/2020,24,3,2020,11,2,Albania,AL,ALB,2862427.0,Europe
268,23/03/2020,23,3,2020,13,0,Albania,AL,ALB,2862427.0,Europe
269,22/03/2020,22,3,2020,6,0,Albania,AL,ALB,2862427.0,Europe
270,21/03/2020,21,3,2020,0,0,Albania,AL,ALB,2862427.0,Europe
271,20/03/2020,20,3,2020,11,0,Albania,AL,ALB,2862427.0,Europe
